0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13
0.57,0.45,0.145,0.751,0.2825,0.2195,0.2215,10
0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
0.61,0.45,0.19,1.0805,0.517,0.2495,0.2935,10
0.52,0.425,0.125,0.79,0.372,0.205,0.19,8
0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12
0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
0.475,0.355,0.115,0.5195,0.279,0.088,0.1325,7
0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
0.635,0.495,0.18,1.596,0.617,0.317,0.37,11
0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
